winery,country,provinces,prices,scores,designations,varieties,num_wines
Sonoma-Loeb,{US},{California},"{38.0, 39.0, 40.0, 27.0, 60.0}","{89, 90, 91, 87}","{Dutton Ranch, Envoy, Sangiacomo Vineyard, Reserve, Bateman Vineyard}","{Pinot Noir, Chardonnay}",11
Sonora,{US},{California},{21.0},{84},"{Story Vineyard Old Vine, TC Vineyard Old Vine}",{Zinfandel},2
Sonsierra,{Spain},{Northern Spain},"{35.0, 8.0, 15.0, 18.0, 53.0, 25.0, 29.0}","{83, 84, 86, 87, 90, 91, 92}","{Reserva, Perfume de Sonsierra, Pagos de la Sonsierra Reserva, Selección Tempranillo, Gran Reserva}","{Tempranillo, Viura, Rosé}",10
Soos Creek,{US},{Washington},"{33.0, 35.0, 36.0, 40.0, 45.0, 20.0, 25.0, 28.0, 30.0}","{88, 89, 90, 91, 92, 93, 94}","{Sundance, Ciel du Cheval Vineyard, Palisades, Champoux Vineyard Red Wine, Soleil}","{Bordeaux-style Red Blend, Red Blend, Cabernet Franc, Cabernet Sauvignon, Syrah}",43
Sophie's,{Australia},{South Australia},{17.0},{88},{Palm Block},{Shiraz},1
Sophora,{New Zealand},{New Zealand},{16.0},"{88, 83, 87}","{Cuvée, Rosé}",{Sparkling Blend},4
Soquel Vineyards,{US},{California},"{35.0, 39.0, 40.0, 75.0, 16.0, 50.0, 56.0, 28.0}","{82, 84, 86, 87, 88, 89, 91, 92}","{Luna Matta Vineyards, Intreccio Library Selection, Partners' Reserve, Lester Family Vineyard Partners' Reserve, Library Selection Estate}","{Pinot Noir, Bordeaux-style Red Blend, Sangiovese, Chardonnay, Red Blend}",14
Sordo,{Italy},{Piedmont},"{65.0, 35.0, 70.0, 49.0, 55.0, 62.0}","{87, 88, 89, 90, 91, 92, 93, 94, 95}","{Monvigliero, Ravera, Gabutti, Perno, Rocche di Castiglione}","{Nebbiolo, Barbera}",22
Sorelle Bronca,{Italy},{Veneto},"{15.0, 18.0, 19.0, 22.0, 24.0}","{87, 88, 89, 90, 91}","{Extra Dry, Brut, Particella, Particella 68 Extra Dry}","{Glera, Prosecco}",11
Sorelle Per Sempre,{US},{California},{16.0},{91},{Un-Oaked Sustainable Farming},{Chardonnay},1
Sorelle Winery,{US},{California},"{16.0, 18.0, 22.0, 23.0, 25.0}","{82, 84, 85, 86, 87, 88, 89}","{Sorriso, Troppo Bella, Bellezza Fra, Bella E Rosa, Frizzante}","{Primitivo, Barbera, Sangiovese, Rosé, Muscat}",13
Sorrentino,{Italy},{Southern Italy},"{32.0, 15.0, 16.0, 18.0, 20.0, 24.0, 28.0}","{81, 82, 84, 85, 87, 89, 90}","{Versacrum, Frupa, Don Paolo, Vigna Lapillo, Fior di Ginestre Passito 500ml}","{Coda di Volpe, Piedirosso, White Blend, Aglianico, Gragnano}",10
Soto de Torres,{Spain},{Northern Spain},"{21.0, 15.0}","{88, 86}",{Ibéricos Crianza},{Tempranillo},2
Sottano,{Argentina},{Mendoza Province},"{34.0, 16.0, 24.0, 26.0, 30.0}","{84, 85, 86, 87, 89, 90, 91}","{Reserva de Familia, Reserva, Reserva 3S, Classico}","{Malbec, Cabernet Sauvignon, Viognier, Red Blend}",10
Sottimano,{Italy},{Piedmont},"{64.0, 70.0, 79.0, 50.0, 55.0, 58.0}","{96, 91, 92, 93, 94}","{Pajorè, Fausoni, Cottà, Currà, Riserva}",{Nebbiolo},13
Soulmate,{US},{California},{70.0},{93},{Estate},{Nebbiolo},1
Source Napa,{US},{California},{50.0},{94},{Heart Block},{Sauvignon Blanc},1
Sousa Lopes,{Portugal},{Portuguese Table Wine},{23.0},{88},{Seleção do Enôlogo},{Portuguese White},1
South Coast,{US},{California},"{32.0, 38.0, 16.0, 19.0, 20.0, 22.0, 24.0, 28.0, 29.0, 30.0}","{80, 83, 84, 85, 86, 87, 88, 89, 91}","{Winemaker's Signature Selection, Wild Horse Peak Mountain Vineyards 4-Block Blend, Winemaker's Signature Collection, Daybreak Signature Solera Library Selection, Ruby Cuvée}","{Syrah, Viognier, Cabernet Sauvignon, Sauvignon Blanc, Muscat Canelli}",15
South Hill,{South Africa},{Elgin},{13.0},{87},{The Vineyards},{Sauvignon Blanc},1
South Stage,{US},{Oregon},"{32.0, 24.0, 30.0}","{88, 90, 85}","{Alchemy, Romeo and Juliet, Pleasant View Vineyard}","{Red Blend, White Blend, Pinotage}",3
Southard,{US},{Washington},"{16.0, 25.0, 20.0}","{87, 91, 92, 93, 95}","{Lawrence Vineyard, Lawrence Vineyard Le Paon, Sugarloaf Vineyard, White Wine, Whipping Boy}","{Cabernet Sauvignon, Syrah, Rosé, Roussanne, Rhône-style Red Blend}",8
Southold,{US},{New York},"{32.0, 26.0}","{92, 87}","{Flying & Falling, Tilting at Windmills Old Gristina Vineyard}","{Cabernet Franc, Chardonnay}",2
Soutiran,{France},{Champagne},"{69.0, 40.0, 45.0, 80.0, 50.0, 115.0, 150.0, 55.0, 60.0}","{87, 88, 89, 90, 91, 92, 94}","{Brut Grand Cru, Premier Cru Brut Rosé, Grande Cru Brut, Perle Noire Brut Grand Cru, Grand Cru Millésimeé}","{Champagne Blend, Pinot Noir, Chardonnay}",15
Souverain,{US},{California},"{40.0, 35.0}","{89, 92, 87, 84}",{Winemaker's Reserve},"{Cabernet Sauvignon, Chardonnay}",6
Spadafora,{Italy},{Sicily & Sardinia},"{35.0, 39.0, 16.0, 18.0, 19.0, 23.0, 28.0}","{84, 86, 87, 88, 89, 90}","{Don Pietro, Schietto, Alhambra, Rosato}","{Nero d'Avola, White Blend, Chardonnay, Red Blend}",10
Spadina,{Italy},{Sicily & Sardinia},{16.0},{88},{Una Viola Signature},{Syrah},1
Spagnol,{Italy},{Veneto},"{18.0, 19.0, 14.0, 15.0}","{89, 90, 86, 87}","{Col del Sas Extra Dry, Col de Sas Extra Dry, Domus-Picta Dry, Extra Dry, Col de Sas Brut}","{Glera, Prosecco}",7
Spangler,{US},{Oregon},{39.0},{89},{Reserve},{Cabernet Sauvignon},1
Spanish Vines,{Spain},"{Levante, Central Spain}",{12.0},"{84, 86}","{La Loca Vino Espumoso, Crianza}","{Sparkling Blend, Tempranillo}",2
Spann Vineyards,{US},{California},"{32.0, 65.0, 34.0, 35.0, 33.0, 38.0, 40.0, 15.0, 17.0, 50.0, 20.0, 22.0, 25.0, 27.0, 28.0, 30.0}","{80, 81, 83, 84, 85, 86, 87, 88, 89, 90}","{Betsy's Backacher, The Classic Four, Mo Zin, Eight Barrels, The Powerlifter}","{Red Blend, Cabernet Sauvignon, Bordeaux-style Red Blend, White Blend, Chardonnay-Viognier}",31
Sparkling Pointe,{US},{New York},"{33.0, 37.0, 72.0, 42.0, 75.0, 44.0, 27.0, 60.0, 29.0}","{86, 87, 88, 89, 90, 91, 92}","{Blanc de Blancs, Brut, Topaz Impérial Rosé, Brut Séduction, Topaz Impérial}","{Sparkling Blend, Champagne Blend, Chardonnay}",27
Sparkman,{US},"{Washington, Oregon}","{32.0, 36.0, 100.0, 38.0, 42.0, 45.0, 48.0, 50.0, 18.0, 20.0, 24.0, 22.0, 30.0, 56.0, 25.0, 52.0, 28.0, 62.0}","{87, 88, 89, 90, 91, 92, 93}","{Kingpin, Darkness, Stella Mae, Lumière, Ruckus}","{Syrah, Bordeaux-style Red Blend, Cabernet Sauvignon, Chardonnay, Red Blend}",67
Sparrow Hawk,{US},{California},{25.0},{89},{Reserve},{Chardonnay},1
Spartico,{Spain},{Levante},"{11.0, 12.0}","{85, 87}","{Organic, Organic Wine}","{Tempranillo-Cabernet Sauvignon, Tempranillo}",3
Spell,{US},{California},"{39.0, 72.0, 48.0, 18.0, 50.0, 23.0}","{84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94}","{Nichole's Blend, Alder Springs Vineyard, Weir Vineyard, Terra de Promissio, Vin Gris of}",{Pinot Noir},17
Spell Wine,{US},{California},{15.0},{82},{Spellonu Red},{Bordeaux-style Red Blend},1
Spellbound,{US},{California},"{45.0, 15.0}","{88, 91, 87}","{Reserve, Old Vine}","{Petite Sirah, Zinfandel}",3
Spelletich Cellars,{US},{California},{27.0},{84},{Reserve},{Chardonnay},1
Spenker,{US},{California},{24.0},{83},{Estate Bottled},{Zinfandel},1
Speri,{Italy},{Veneto},"{32.0, 15.0, 80.0, 17.0, 18.0, 85.0, 60.0, 30.0}","{85, 86, 88, 89, 90, 94}","{La Roverina, Vigneto Sant'Urbano, Vigneto Monte Sant'Urbano, La Roggia}","{Corvina, Rondinella, Molinara, Red Blend}",12
Spice Route,{South Africa},{Swartland},"{24.0, 20.0}","{90, 91}",{Chakalaka},{Red Blend},3
Spicerack,{US},{California},{25.0},"{91, 87}",{Punchdown},{Syrah},2
Spicewood,{US},{Texas},{40.0},{88},{The Good Guy},{Red Blend},1
Spicy Vines,{US},{California},"{32.0, 35.0, 38.0, 50.0, 26.0, 28.0, 30.0}","{84, 85, 86, 87, 88, 90, 91, 92, 93}","{Joie de Vivre, Dragon's Kiss, Violet, Risqué, Zin Master}","{Chardonnay, Zinfandel, Syrah, Rosé, Pinot Noir}",20
Spier,{South Africa},"{Coastal Region, Stellenbosch, Western Cape}","{15.0, 17.0, 18.0, 20.0, 21.0, 23.0, 28.0}","{88, 89, 90, 87}","{Vintage Selection, Private Collection, 21 Gables, Beyond Ordinary, Creative Block 5}","{Sauvignon Blanc, Pinotage, Shiraz, Chenin Blanc, Red Blend}",12
Spindrift Cellars,{US},{Oregon},"{32.0, 38.0, 16.0, 18.0, 19.0, 25.0, 26.0, 28.0, 30.0}","{85, 86, 87, 88, 89, 90}","{OSU Woodhall III, Reserve, Barrel Select, Woodhall Reserve, Rosé of}","{Pinot Noir, Chardonnay, Rosé, Syrah}",19
Spinelli,{Italy},{Central Italy},{10.0},{86},{STLTO},{Pinot Grigio},1
Spirit of the Andes,{Argentina},{Mendoza Province},{16.0},"{82, 85}","{Sustainably Farmed Sparkling, Organic Wine}","{Torrontés, Malbec}",2
Spiriterra,{US},{California},"{65.0, 25.0, 20.0}","{88, 83, 85, 86}","{Estate, Estate Muscadine, Scuppernong Estate}","{Muscadine, Cabernet Sauvignon, Rosé}",5
Spiropoulos,{Greece},"{Nemea, Mantinia}","{18.0, 45.0, 15.0}","{88, 85, 86}","{Made with Organic Grapes, Red Stag}","{Agiorgitiko, Moschofilero}",3
Spoto,{US},{California},"{129.0, 75.0, 80.0, 50.0, 115.0}","{90, 91, 94, 87}","{Private Reserve Oakville Station, Cuvée Susan Diane Oakville Station, Private Reserve, Cuvée Judy Ann, Cuvée Alexi}","{Bordeaux-style Red Blend, Cabernet Sauvignon}",6
Spotted Owl,{US},{California},"{35.0, 69.0, 30.0}","{82, 92, 86}","{Alexandria's Cuvée, Mountain Cuvée, Mountain Cuvee}","{Red Blend, Syrah}",4
Spottswoode,{US},{California},"{80.0, 185.0, 75.0, 165.0}","{98, 93, 95}","{Family Estate Grown, Lyndenhurst Spottswoode Estate, Lyndenhurst}",{Cabernet Sauvignon},4
Spring Mountain Vineyard,{US},{California},"{35.0, 100.0, 40.0, 75.0, 50.0, 150.0, 55.0, 90.0, 125.0}","{84, 87, 88, 89, 90, 91, 92, 93, 94}","{Estate Bottled, Elivette, Estate, Reserve, Miravalle-La Perla-Chevalier}","{Bordeaux-style Red Blend, Sauvignon Blanc, Cabernet Sauvignon, Syrah, Chardonnay}",16
Spring Valley Vineyard,{US},{Washington},{50.0},"{87, 88, 89, 90, 91, 92, 93}","{Uriah Estate Grown, Nina Lee, Katherine Corkrum Estate Grown, Uriah, Katherine Corkrum}","{Bordeaux-style Red Blend, Cabernet Franc, Syrah, Cabernet Sauvignon, Red Blend}",33
Springfield Estate,{South Africa},{Robertson},"{42.0, 20.0, 21.0}","{88, 89}","{Wild Yeast, Méthode Ancienne}",{Chardonnay},4
Springhill Cellars,{US},{Oregon},"{40.0, 25.0}","{83, 87}","{Mer Vin, Estate}",{Pinot Noir},2
Springhouse Cellar,{US},{Oregon},"{24.0, 18.0}","{83, 85}","{Drawing A Blanc, Make Cab Not War}","{Sauvignon Blanc, Cabernet Sauvignon}",2
Spy Valley,{New Zealand},{Marlborough},"{32.0, 33.0, 15.0, 20.0, 55.0, 24.0}","{89, 90, 93, 86}","{Satellite, Envoy, Envoy Single Vineyard, Rosé, Envoy Johnson Vineyard}","{Pinot Noir, Sauvignon Blanc}",7
Square Peg,{US},{California},{53.0},{92},{SP-SL Estate Vineyard},{Pinot Noir},1
Squawking Magpie,{New Zealand},{Hawke's Bay},"{50.0, 90.0, 79.0}","{91, 93, 95}","{SQM Gimblett Gravels Cabernets/Merlot, Stoned Crow Gimblett Gravels}","{Bordeaux-style Red Blend, Syrah}",3
St Hallett,{Australia},{South Australia},"{69.0, 70.0, 39.0, 12.0, 13.0, 15.0, 16.0}","{86, 87, 88, 89, 90, 91, 93, 94}","{Old Block, Black Clay, Gamekeeper's Shiraz-Grenache-Touriga, Poacher's Blend, Faith}","{Shiraz, Red Blend, Semillon-Sauvignon Blanc, White Blend}",11
St. Amant,{US},{California},"{18.0, 35.0, 28.0, 30.0}","{84, 87, 88, 92, 93}","{Lodi Native Marian's Vineyard, Mohr-Fry Ranch, Marian's Vineyard, The Road Less Travelled}","{Zinfandel, Tempranillo}",5
St. Andrews Estate,{Australia},{South Australia},{12.0},{83},{Ceravolo},{Chardonnay},1
St. Christopher,{Germany},{Mosel},"{10.0, 11.0, 12.0, 13.0, 14.0, 17.0}","{84, 87, 88, 89, 90}","{Piesporter Goldtröpfchen Spätlese, Piesporter Goldtröpfchen Kabinett, Piesporter Michelsberg Kabinett, Piesporter Michelsberg Auslese, Piesporter Michelsberg Spätlese}",{Riesling},12
St. Clair,{US},{New Mexico},{14.0},{82},{Bellissimo Demi-Sec},{Sparkling Blend},1
St. Clement,{US},{California},"{80.0, 70.0, 55.0}","{89, 91, 87}","{Star Vineyard, Oroppas, Howell Mountain}",{Cabernet Sauvignon},5
St. Francis,{US},{California},"{65.0, 68.0, 38.0, 40.0, 10.0, 12.0, 45.0, 13.0, 48.0, 50.0, 20.0, 52.0, 22.0, 55.0, 25.0, 60.0}","{83, 84, 85, 86, 87, 88, 89, 90, 91, 93}","{Old Vines, Reserve, Behler Vineyard, Anthem, Lagomarsino Vineyard}","{Zinfandel, Merlot, Cabernet Sauvignon, Bordeaux-style Red Blend, Red Blend}",45
St. Hubertus,{Canada},{British Columbia},"{24.0, 20.0, 22.0}","{88, 91, 87}","{Oak Bay Vineyard, Dry}","{Gamay Noir, Riesling, Gewürztraminer}",3
St. Innocent,{US},{Oregon},"{36.0, 38.0, 42.0, 20.0, 22.0, 55.0, 26.0}","{87, 88, 89, 90, 91, 92, 93, 94}","{Freedom Hill Vineyard, Justice Vineyard, Zenith Vineyard, Temperance Hill Vineyard, Freedom Hill Vineyard Dijon Clone}","{Pinot Noir, Pinot Blanc, Chardonnay, Pinot Gris, Rosé}",26
St. Julian,{US},{Michigan},"{16.0, 20.0, 13.0, 15.0}","{82, 83, 85, 86, 87, 88}","{Braganini Reserve, Reserve, Reserve Late Harvest, Cathermsn's, Solera Cream}","{Riesling, Traminette, Port, Sherry, Vignoles}",10
St. Michael Weinkellerei,{Germany},{Rheinhessen},{18.0},{87},{Auslese},{Riesling},1
St. Michael-Eppan,{Italy},{Northeastern Italy},{28.0},{87},{Sanct Valentin},{Sauvignon Blanc},1
St. Pauls,{Italy},{Northeastern Italy},"{33.0, 35.0, 99.0, 40.0, 42.0, 45.0, 16.0, 17.0, 18.0, 20.0, 22.0, 23.0, 29.0}","{87, 88, 89, 90, 91, 92}","{Passion, Passion Riserva, Gfill, Plotzner, Gries}","{Pinot Bianco, Sauvignon, Pinot Nero, Lagrein, Schiava}",24
St. Rose,{US},{California},"{44.0, 38.0, 39.0}","{93, 94}","{Nunes Vineyard Ten Block, Nunes Vineyard 777}",{Pinot Noir},4
St. Supéry,{US},{California},"{65.0, 35.0, 100.0, 70.0, 75.0, 15.0, 50.0, 20.0, 85.0, 22.0, 25.0, 125.0, 30.0}","{85, 86, 87, 88, 89, 90, 91, 92, 93}","{Estate, Dollarhide, Dollarhide Estate Vineyard, Estate Grown, Estate Bottled}","{Cabernet Sauvignon, Merlot, Moscato, Bordeaux-style Red Blend, Petit Verdot}",50
St. Urbans-Hof,{Germany},"{Mosel, Mosel-Saar-Ruwer}","{11.0, 12.0, 16.0, 17.0, 18.0, 19.0, 20.0, 22.0, 25.0, 29.0, 30.0, 34.0, 36.0, 38.0, 42.0, 175.0, 55.0, 60.0, 70.0, 75.0}","{96, 86, 87, 88, 89, 90, 91, 92, 93, 94}","{Schodener Saarfeilser Marienberg Spätlese Erste Lage, Ockfener Bockstein Zickelgarten Erste Lage Spätlese, Nik Weis Wiltinger Alte Reben Ortswein Kabinett Feinherb, Nik Weis Selection Urban, Nik Weis Wiltinger Alte Reben}",{Riesling},39
Staatliche Weinbaudomäne Oppenheim,{Germany},{Rheinhessen},"{27.0, 28.0}",{91},"{Niersteiner vom Rotliegenden, Herrenberg Auslese}",{Riesling},2
Staatliche Weinbaudomäne Trier,{Germany},{Mosel},"{20.0, 23.0}","{90, 87}","{Avelsbacher Hammerstein, Avelsbacher Hammerstein Halbtrocken}",{Riesling},4
Stable Hill,{Australia},{South Australia},"{17.0, 18.0}","{84, 86}","{The Little Villager, Palamino}","{Pinot Noir, Pinot Grigio}",3
Stacked Stone,{US},{California},"{16.0, 27.0}","{80, 85}","{The Gem, The Quarry}","{Rhône-style Red Blend, Bordeaux-style Red Blend}",2
Stadlmann,{Austria},"{Thermenregion, Niederösterreich}","{35.0, 15.0, 17.0, 18.0, 19.0, 22.0, 30.0}","{89, 90, 91, 92, 93}","{Badener Berg, Anninger, Anning, Classic, Mandel-Höh}","{Zierfandler, Rotgipfler, Grüner Veltliner, Pinot Noir, Riesling}",17
Stadt Krems,{Austria},{Kremstal},"{35.0, 37.0, 40.0, 42.0, 16.0, 25.0, 27.0, 28.0}","{88, 89, 90, 91, 92, 93}","{Steinterrassen, Weinzierlberg, Ried Grillenparz Reserve, Wachtberg Reserve, Grillenparz Reserve}","{Grüner Veltliner, Riesling}",19
Staete Landt,{New Zealand},{Marlborough},"{32.0, 16.0, 19.0, 20.0, 23.0, 27.0, 30.0}","{84, 86, 87, 88, 89, 90, 91}","{Map Maker, Paladin, Josephine, Annabel}","{Pinot Noir, Sauvignon Blanc, Chardonnay}",9
Stag's Leap Wine Cellars,{US},{California},"{260.0, 135.0, 150.0, 26.0, 28.0, 34.0, 35.0, 40.0, 45.0, 55.0, 60.0, 195.0, 75.0, 210.0, 95.0, 225.0, 100.0, 110.0, 125.0}","{96, 97, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95}","{Artemis, Aveta, Karia, Cask 23, Cask 23 Estate}","{Cabernet Sauvignon, Chardonnay, Sauvignon Blanc, Bordeaux-style Red Blend}",40
Staglin,{US},{California},"{250.0, 175.0}","{96, 92}","{INEO, Estate}","{Bordeaux-style Red Blend, Cabernet Sauvignon}",2
Stags' Leap Winery,{US},{California},"{58.0, 200.0, 75.0, 80.0, 115.0, 85.0, 53.0, 90.0}","{87, 88, 89, 90, 91, 92, 93}","{Ne Cede Malis Estate Grown, The Leap, The Leap Estate Grown, The Investor, Ne Cede Malis}","{Cabernet Sauvignon, Petite Sirah, Red Blend}",14
Stama,{US},{California},{24.0},{84},{Old Vine},{Zinfandel},1
Stanburn,{US},{Virginia},"{16.0, 15.0}","{80, 83, 84}","{Meadow Breeze Sweet, Poorhouse, Bull's Blush}","{White Blend, Chambourcin, Rosé}",3
Standing Stone,{US},{New York},"{32.0, 12.0, 13.0, 14.0, 19.0, 20.0, 22.0, 23.0, 24.0, 25.0, 30.0}","{82, 85, 86, 87, 88, 89, 90, 91, 92}","{Ice, Reserve, Old West Block, Dry, Pinnacle}","{Riesling, Chardonnay, Vidal Blanc, Gewürztraminer, Vidal}",26
Standing Sun,{US},{California},"{24.0, 18.0, 28.0, 20.0}","{85, 87, 88, 89, 90, 91}","{Camp Four Vineyard, Terra Alta Vineyard Le Blanc, Camp 4 Vineyard, Rosé of, Riverbench Vineyard}","{Rhône-style White Blend, Merlot, Grenache, Riesling, Syrah}",7
Standish,"{US, Australia}","{California, South Australia}","{36.0, 135.0, 75.0, 80.0, 22.0, 90.0, 95.0}","{96, 97, 98, 87, 91, 93, 95}","{The Relic, The Standish Single Vineyard, Philo Rosé, Mayflower, Andelmonde}","{Pinot Noir, Shiraz, Chardonnay}",8
Stanger,{US},{California},{44.0},{91},{West Side Master},{Red Blend},1
Stanley Lambert,{Australia},"{Australia Other, South Australia}","{28.0, 15.0}","{85, 87}","{Sensitive Cousin, Thoroughbred}","{Pinot Noir, Cabernet Sauvignon}",2
Stanton & Killeen,{Australia},{Victoria},{35.0},"{89, 92}",{Classic},"{Tokay, Muscat}",2
Staphyle,{Argentina},"{Mendoza Province, Other}",{15.0},"{80, 83}",{Vástago de Gea},"{Cabernet Sauvignon, Sauvignon Blanc}",2
Stapleton & Springer,{Czech Republic},{Moravia},{45.0},{89},{Roucí},{Red Blend},2
Star Angel by Montes,{US},{California},"{25.0, 35.0, 60.0, 45.0}","{88, 87}","{Aurelio's Selection, Red Wine}","{Rhône-style Red Blend, Red Blend}",5
Star Lane Vineyard,{US},{California},"{42.0, 44.0, 80.0, 20.0, 22.0, 90.0}","{88, 90, 80, 87}","{Astral, Estate Grown, Estate, Star Lane Vineyard}","{Cabernet Sauvignon, Sauvignon Blanc, Bordeaux-style Red Blend, Red Blend}",11
Starfield,{US},{California},"{65.0, 55.0}","{88, 90, 87}","{The Starbeam, Jacks Are Wild}","{Cabernet Sauvignon, Bordeaux-style Red Blend}",3
Stargazer Barn,{US},{California},{18.0},{91},{Unoaked},{Chardonnay},1
Stark,{US},{California},"{34.0, 38.0, 42.0, 44.0, 22.0, 28.0, 30.0}","{84, 87, 88, 91, 93}","{Damiano Vineyard, Rosé of, Eaglepoint Ranch, Windsor Oaks Vineyard, Saarloos Vineyard}","{Grenache, Syrah, Viognier, Barbera, Grenache Blanc}",11
Stark-Condé,{South Africa},"{Stellenbosch, Jonkershoek Valley}","{35.0, 42.0, 27.0}","{89, 90, 91, 92}","{Unfined and Unfiltered, Twin Peak Vineyards Unfined and Unfiltered, Three Pines Unfined and Unfiltered, Three Pines}","{Cabernet Sauvignon, Syrah}",11
Starmont,{US},{California},"{19.0, 45.0}","{91, 92}","{Rosé of, Stanly Ranch Estate}","{Pinot Noir, Chardonnay}",3
Starry Night,{US},{California},"{34.0, 30.0}","{82, 84}","{The Caboose, Montafi Vineyard Old Vine}",{Zinfandel},3
Stasis,{US},{California},{42.0},{89},{Murmur Vineyard},"{Chardonnay, Pinot Noir}",2
Stateside,{US},{California},{18.0},{88},{Winemaker's Reserve Red Wine Blend},{Red Blend},1
Statti,{Italy},{Southern Italy},"{28.0, 21.0}","{88, 90}","{Arvino, Batasarro}",{Red Blend},2
Stave & Hoop,{US},{California},{16.0},{84},{Lot 55},{Chardonnay},1
Stave 28,{US},{California},"{24.0, 19.0}","{86, 87}","{Echo, Lola}","{Red Blend, Sangiovese}",2
Ste. Chapelle,{US},{Idaho},"{6.0, 7.0, 8.0, 10.0, 14.0, 25.0}","{82, 83, 84, 85, 86, 87, 88}","{Special Harvest, Winemaker's Series, Dry, Soft, Treasure Valley Reserves}","{Riesling, Merlot, Syrah, Cabernet Sauvignon, Chenin Blanc}",15
Steele,{US},{California},"{35.0, 19.0, 21.0, 22.0, 30.0}","{84, 87, 89, 90, 91}","{Catfish Vineyard, Goodchild Vineyard, Durell Vineyard, Pacini Vineyard, Bien Nacido Vineyard Block N}","{Zinfandel, Pinot Noir, Chardonnay}",7
Steely Dan,{New Zealand},{Marlborough},{22.0},{87},{Waihopai Ridge Clayfork Vineyard},{Sauvignon Blanc},1
Steenberg,{South Africa},"{Coastal Region, Western Cape}","{16.0, 18.0}","{88, 89}","{Private Cellar Series, Private Cellar Series Red Blend}","{Sauvignon Blanc, Red Blend}",2
Stefania,{US},{California},{20.0},{82},{Haut Tubee},{Red Blend},1
Stefania Mezzetti,{Italy},{Tuscany},{30.0},"{88, 86}","{Principe, Lucumone}","{Syrah, Cabernet Sauvignon}",4
Stefano Accordini,{Italy},{Veneto},"{35.0, 38.0, 18.0, 20.0, 90.0, 30.0}","{87, 88, 89, 90, 91, 94}","{Acinatico, Passo, Ripassá, Vigneto il Fornetto, Le Bessole}","{Corvina, Rondinella, Molinara, Red Blend}",11
Stefano Amerighi,{Italy},{Tuscany},{45.0},{91},{Alice},{Syrah},1
Stefano Antonucci,{Italy},{Central Italy},"{12.0, 20.0, 39.0}","{89, 86, 87}","{Pignocco, Le Vaglie, Tardivo Ma Non Tardo}",{Verdicchio},3
Stefano Berti,{Italy},{Central Italy},"{38.0, 20.0, 14.0}","{88, 84}","{Calisto Riserva, Bartimeo, Ravaldo}",{Sangiovese},4
Stefano Ferrucci,{Italy},{Central Italy},{35.0},{91},{Domus Aurea Passito},{Albana},1
Stein Family,{US},{California},"{59.0, 20.0, 22.0}","{89, 85}","{Magic Hour White, Semi-Dry, Arleyna}","{Moscato, Gewürztraminer, Red Blend}",4
Steindorfer,{Austria},{Burgenland},"{25.0, 34.0, 35.0}","{90, 91, 92, 93}","{Reserve, Apleton Rouge, Alte Reben, Beerenauslese}","{St. Laurent, Austrian Red Blend, Blaufränkisch, Sauvignon Blanc-Chardonnay}",8
Steiner Family Vineyards,{US},{California},"{26.0, 19.0, 20.0}","{89, 85, 86, 87}","{Temper Tantrum, Free Bird, Free Bird 19}","{Tempranillo, Zinfandel}",5
Steininger,{Austria},"{Kamptal, Österreichischer Sekt, Niederösterreich}","{32.0, 33.0, 34.0, 35.0, 39.0, 17.0, 18.0, 49.0, 21.0, 22.0, 23.0, 24.0, 25.0, 28.0, 29.0, 30.0}","{85, 86, 87, 88, 89, 90, 91, 92, 93}","{Brut, Sekt, Grand Grü Reserve, Kittmannsberg Reserve, Loisiumweingarten Reserve}","{Grüner Veltliner, Riesling, Sparkling Blend, Cabernet Sauvignon, Zweigelt}",42
Stelios Kechris,{Greece},{Macedonia},{20.0},"{88, 84}",{The Fourth Dimension},{White Blend},2
Stella Bella,{Australia},{Western Australia},{43.0},{84},{Suckfizzle},{Cabernet Sauvignon},1
Stella Mia,{Italy},"{Italy Other, Veneto}",{11.0},"{80, 84}","{Rosso e Dolce, Extra Dry}","{Brachetto, Glera}",2
Stellareese,{US},{California},{42.0},{92},"{Marcy's Vineyard, Marcey's Vineyard}",{Cabernet Sauvignon},2
Stellenbosch Hills,{South Africa},{Polkadraai Hills},"{10.0, 14.0}","{84, 85, 86}",{Polkadraai},"{Chenin Blanc-Sauvignon Blanc, Pinotage-Merlot}",3
Stellenbosch Vineyards,{South Africa},{Stellenbosch},{18.0},{87},{Bushvine},{Chenin Blanc},1
Stellina,{US},{California},{32.0},{90},{Selvaggio Old Vine},{Zinfandel},1
Steltzner,{US},{California},{18.0},{86},{Claret},{Bordeaux-style Red Blend},1
Stemilt Creek,{US},{Washington},"{42.0, 13.0, 45.0, 15.0, 48.0, 17.0, 19.0, 20.0, 24.0, 26.0}","{82, 84, 85, 86, 88}","{Ascent One-half Mile Closer to the Moon, Ascent One-Half Mile Closer to the Moon, A Day's Work Estate Grown, Boss Lady Estate Grown, A Day's Work Estate Grown Thomas Cyle Mathison}","{Cabernet Sauvignon, Red Blend, Merlot, White Blend, Rosé}",12
Stemmari,{Italy},"{Sicily & Sardinia, Italy Other}","{10.0, 11.0, 13.0, 14.0}","{88, 86, 87}","{Dalila, Cantodoro, Passiata, Baci Vivaci, Estate Grown Sustainably Farmed}","{White Blend, Red Blend, Grillo, Nero d'Avola}",7
